,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
744,sh600120,浙江东方,商贸代理,浙江,25.88,50547.33,50547.33,1178707.13,527297.69,42006.4,4275.71,0.08,0.28,11.74,2.46,19971201
745,sz300188,美亚柏科,软件服务,福建,3119.45,24254.16,48725.44,212489.05,113738.51,24943.0,73043.46,1.5,0.002,3.44,7.84,20110316
746,sh600054,黄山旅游,旅游景点,安徽,55.66,17643.0,74730.0,394856.91,180868.98,185521.55,59364.63,0.79,0.077,4.06,4.24,19970506
747,sh600283,钱江水利,水务,浙江,349.87,33591.6,35299.57,535229.63,198257.95,185400.63,116877.0,3.31,0.01,4.96,2.74,20001018
748,sz300446,乐凯新材,化工原料,河北,51.28,7528.2,12280.0,49640.65,34885.59,11128.57,9700.33,0.79,0.241,3.71,13.34,20150423
749,sh600498,烽火通信,通信设备,湖北,54.57,98654.13,104669.34,2029750.75,1728728.75,148802.98,305936.72,2.92,0.114,6.67,3.73,20010823
750,sh600141,兴发集团,化工原料,湖北,109.66,46574.39,52998.19,2266452.5,532426.81,1147104.63,286517.97,5.41,0.028,9.21,1.35,19990616
751,sh600535,天士力,中成药,天津,35.71,103284.27,108047.59,1536861.75,981265.88,280151.25,177144.73,1.64,0.256,7.17,5.11,20020823
752,sz002724,海洋王,半导体,深圳,113.94,6111.89,40000.0,170210.52,113437.01,44779.98,36891.46,0.92,0.053,3.89,6.18,20141104
753,sz000925,众合科技,专用机械,浙江,0.0,30551.35,32032.39,378566.47,197980.27,26445.88,96936.4,3.03,0.061,3.74,5.08,19990611
754,sh600824,益民集团,百货,上海,35.66,105402.71,105402.71,290234.44,114918.3,21319.67,15640.04,0.15,0.044,1.9,3.34,19940204
755,sh600395,盘江股份,煤炭开采,贵州,0.0,165505.19,165505.19,1017880.81,333007.22,288425.94,233941.05,1.41,0.064,3.37,2.64,20010531
